date,n_incidents,length_in_meters,delay_in_seconds,latitude,longitude
2019-01-27 11,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 12,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 13,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 14,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 15,5.0,267.6,65.8,41.54405059814452,-8.41635341644287
2019-01-27 16,8.0,265.5,95.375,41.55281591415406,-8.413849234580994
2019-01-27 17,9.0,240.55555555555554,149.0,41.552360958523224,-8.407971594068739
2019-01-27 18,4.0,239.5,39.75,41.53590106964111,-8.414973020553589
2019-01-27 19,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 20,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 08,19.0,507.7894736842105,154.78947368421052,41.54948565834447,-8.418417679636102
2019-01-28 09,24.0,519.5416666666666,240.70833333333334,41.548979918162026,-8.419647693634033
2019-01-28 10,11.0,413.72727272727275,257.1818181818182,41.54391028664329,-8.40649058602073
2019-01-28 11,14.0,406.0,181.85714285714286,41.549748284476145,-8.421507017953056
2019-01-28 12,6.0,371.1666666666667,71.66666666666667,41.54331016540527,-8.403921604156494
2019-01-28 13,12.0,294.3333333333333,141.58333333333334,41.55004723866781,-8.420102993647257
2019-01-28 14,20.0,430.3,241.6,41.545125770568845,-8.423798036575317
2019-01-28 15,18.0,382.44444444444446,190.72222222222223,41.54705725775825,-8.419399632347954
2019-01-28 16,6.0,325.6666666666667,175.83333333333334,41.54760424296061,-8.401385307312012
2019-01-28 17,15.0,368.0,293.0,41.550034840901695,-8.431057294209799
2019-01-28 18,45.0,476.0,204.62222222222223,41.54540888468424,-8.429458469814724
2019-01-28 19,10.0,401.5,116.2,41.54303512573242,-8.42062463760376
2019-01-28 20,4.0,120.0,49.25,41.540721893310554,-8.411383628845215
2019-01-28 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-28 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-29 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-29 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-29 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-29 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-29 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-29 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-29 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-29 07,4.0,228.5,46.5,41.546332359313965,-8.407763957977295
2019-01-29 08,36.0,534.2222222222222,173.66666666666666,41.55142328474257,-8.42207219865587
2019-01-29 09,26.0,512.0384615384615,180.03846153846155,41.547242824847885,-8.426647736476017
2019-01-29 10,5.0,198.8,70.0,41.54762344360351,-8.410406112670898
2019-01-29 11,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-29 12,4.0,171.5,70.75,41.54151153564453,-8.410815477371216
2019-01-29 13,6.0,177.5,95.0,41.54628117879232,-8.41234556833903
2019-01-29 14,5.0,227.0,37.2,41.54410247802734,-8.414176177978515
2019-01-29 15,5.0,153.2,78.0,41.54418411254883,-8.408126258850098
2019-01-29 16,6.0,170.66666666666666,81.0,41.55322519938151,-8.421761830647787
2019-01-29 17,9.0,399.55555555555554,176.88888888888889,41.543431176079636,-8.419344690110949
2019-01-29 18,34.0,484.1764705882353,178.76470588235293,41.54121118433335,-8.431844430811266
2019-01-29 19,15.0,387.2,112.8,41.55118179321289,-8.415839513142904
2019-01-29 20,7.0,250.14285714285714,3.5714285714285716,41.549165453229634,-8.406780924115862
2019-01-29 21,6.0,234.5,0.0,41.5477237701416,-8.403958797454834
2019-01-29 22,6.0,234.5,0.0,41.5477237701416,-8.403958797454834
2019-01-29 23,7.0,234.57142857142858,28.571428571428573,41.549874441964285,-8.408094814845494
2019-01-30 00,6.0,234.5,0.0,41.5477237701416,-8.403958797454834
2019-01-30 01,6.0,234.5,0.0,41.5477237701416,-8.403958797454834
2019-01-30 02,6.0,234.5,0.0,41.5477237701416,-8.403958797454834
2019-01-30 03,6.0,234.5,0.0,41.5477237701416,-8.403958797454834
2019-01-30 04,6.0,234.5,0.0,41.5477237701416,-8.403958797454834
2019-01-30 05,6.0,234.5,0.0,41.5477237701416,-8.403958797454834
2019-01-30 06,6.0,234.5,0.0,41.5477237701416,-8.403958797454834
